Time,Ask,Bid,AskVolume,BidVolume
10.02.2014 00:09:22.498,6.02860,6.02500,0.08,0.10
10.02.2014 00:10:02.548,6.02780,6.02540,0.09,0.11
10.02.2014 00:10:04.551,6.02760,6.02540,0.06,0.09
10.02.2014 00:10:24.575,6.02790,6.02540,0.09,0.09
10.02.2014 00:10:50.506,6.02790,6.02500,0.09,0.11
10.02.2014 00:10:58.514,6.02860,6.02510,0.06,0.10
10.02.2014 00:13:12.563,6.02820,6.02560,0.09,0.11
10.02.2014 00:13:32.586,6.02890,6.02520,0.10,0.09
10.02.2014 00:13:48.604,6.02900,6.02600,0.09,0.06
10.02.2014 00:13:52.509,6.02850,6.02540,0.08,0.06
10.02.2014 00:14:08.527,6.02860,6.02600,0.06,0.11
10.02.2014 00:14:12.531,6.02940,6.02610,0.11,0.11
10.02.2014 00:14:18.537,6.02940,6.02590,0.10,0.06
10.02.2014 00:14:32.554,6.02870,6.02600,0.08,0.11
10.02.2014 00:15:40.539,6.02940,6.02590,0.11,0.11
10.02.2014 00:24:16.559,6.02930,6.02580,0.10,0.06
10.02.2014 00:26:24.619,6.02930,6.02620,0.11,0.09
10.02.2014 00:29:46.558,6.02930,6.02580,0.09,0.10
10.02.2014 00:29:52.565,6.02880,6.02580,0.10,0.09
10.02.2014 00:29:54.567,6.02900,6.02600,0.11,0.09
10.02.2014 00:30:00.575,6.02920,6.02570,0.09,0.10
10.02.2014 00:32:14.538,6.02920,6.02570,0.09,0.08
10.02.2014 00:43:38.573,6.02880,6.02620,0.11,0.11
10.02.2014 00:46:18.569,6.02920,6.02570,0.06,0.06
10.02.2014 00:47:08.528,6.02930,6.02570,0.11,0.08
10.02.2014 00:47:12.633,6.02920,6.02570,0.09,0.09
10.02.2014 00:47:20.542,6.02920,6.02560,0.10,0.10
10.02.2014 00:48:08.599,6.02930,6.02570,0.10,0.09
10.02.2014 00:48:54.552,6.02920,6.02560,0.06,0.11
10.02.2014 00:50:56.601,6.02880,6.02570,0.11,0.10
10.02.2014 00:50:58.503,6.02930,6.02660,0.06,0.08
10.02.2014 00:53:14.561,6.02920,6.02600,0.08,0.11
10.02.2014 00:53:22.570,6.02980,6.02690,0.09,0.09
10.02.2014 00:53:58.513,6.02950,6.02650,0.08,0.11
10.02.2014 00:54:34.557,6.02950,6.02630,0.08,0.06
10.02.2014 00:54:58.586,6.03010,6.02640,0.10,0.09
10.02.2014 00:55:02.592,6.03000,6.02640,0.06,0.08
10.02.2014 00:55:04.495,6.03000,6.02680,0.08,0.09
10.02.2014 00:55:06.597,6.03000,6.02700,0.06,0.08
10.02.2014 00:55:12.603,6.03000,6.02650,0.06,0.08
10.02.2014 00:55:38.533,6.03000,6.02640,0.11,0.06
10.02.2014 00:56:08.567,6.03000,6.02650,0.09,0.10
10.02.2014 00:57:38.580,6.03000,6.02650,0.06,0.10
10.02.2014 01:01:34.559,6.02990,6.02640,0.06,0.11
10.02.2014 01:02:08.599,6.02980,6.02680,0.06,0.10
10.02.2014 01:02:10.502,6.02950,6.02650,0.09,0.10
10.02.2014 01:05:16.538,6.02990,6.02640,0.06,0.10
10.02.2014 01:07:06.572,6.02980,6.02660,0.06,0.09
10.02.2014 01:07:08.574,6.02890,6.02680,0.09,0.10
10.02.2014 01:08:56.606,6.02940,6.02700,0.09,0.10
10.02.2014 01:09:08.620,6.02990,6.02690,0.06,0.06
10.02.2014 01:09:10.523,6.02940,6.02710,0.06,0.08
10.02.2014 01:09:16.530,6.02950,6.02710,0.08,0.06
10.02.2014 01:09:24.639,6.02970,6.02620,0.08,0.11
10.02.2014 01:09:32.549,6.02930,6.02620,0.09,0.08
10.02.2014 01:11:52.615,6.02910,6.02690,0.06,0.08
10.02.2014 01:14:08.569,6.03020,6.02700,0.10,0.10
10.02.2014 01:14:16.579,6.02950,6.02610,0.09,0.08
10.02.2014 01:14:40.607,6.02950,6.02600,0.08,0.08
10.02.2014 01:14:54.625,6.03020,6.02540,0.09,0.10
10.02.2014 01:15:30.572,6.03030,6.02610,0.10,0.11
10.02.2014 01:15:38.582,6.02970,6.02700,0.09,0.08
10.02.2014 01:15:48.494,6.03050,6.02620,0.09,0.06
10.02.2014 01:15:52.599,6.02980,6.02580,0.10,0.10
10.02.2014 01:15:54.501,6.02990,6.02620,0.08,0.08
10.02.2014 01:16:00.609,6.02940,6.02630,0.10,0.10
10.02.2014 01:16:04.614,6.03010,6.02640,0.09,0.08
10.02.2014 01:16:08.619,6.03020,6.02750,0.11,0.10
10.02.2014 01:16:10.621,6.02980,6.02650,0.06,0.10
10.02.2014 01:16:14.626,6.03070,6.02670,0.06,0.10
10.02.2014 01:16:16.529,6.03050,6.02690,0.08,0.08
10.02.2014 01:16:18.531,6.02990,6.02690,0.08,0.11
10.02.2014 01:16:20.634,6.03080,6.02700,0.10,0.08
10.02.2014 01:16:22.536,6.03070,6.02730,0.11,0.09
10.02.2014 01:16:24.639,6.03070,6.02760,0.08,0.11
10.02.2014 01:16:28.544,6.03060,6.02760,0.10,0.11
10.02.2014 01:16:32.649,6.03080,6.02700,0.10,0.10
